amount,time,v1,v2,v3,class
3.88,15.58,-0.2247456205149846,-1.3462749832381498,0.1268793967486328,0
100.53,32.96,1.157346311723567,0.12649323990899375,1.4227991502650217,0
74.25,13.76,1.6884421557461313,-2.588236607468902,0.7625617821222722,0
244.09,61.35,-0.930664217960387,0.11151390236901726,-1.133169634056446,0
94.18,8.83,-0.5493598549354416,-2.0299186217867327,-1.503956716769212,0
124.86,38.38,-1.5534277984667928,-1.0627796137886645,-1.9731744856680598,0
4.73,23.83,0.2349778748162469,-1.3308069575192696,1.44660438332594,0
30.13,17.53,-0.4873894162901053,-1.08208681351158,-0.8228400772783984,0
17.44,14.48,0.16984469724903012,-1.573708584832589,-2.0022152385129175,0
175.65,47.9,1.0544121122194114,0.029168284899363517,-0.12890180227655035,0
174.63,21.93,-0.44309487395607067,-2.8319399284741515,-1.571623210874448,0
75.9,10.72,2.569907035475335,0.9926051298558801,0.3218438113679798,1
27.21,6.82,0.6198091075303009,-2.063973001758184,-2.242659131337946,0
64.81,11.53,0.01424416401371203,-2.407374161936458,0.17534959484628654,0
35.73,30.68,-0.21645222277144752,-0.9796337105738849,1.9748965069476534,0
34.84,19.61,-1.1874654017384385,-0.9780123683934284,-0.38385507555079446,0
0.3,20.99,-0.4652168666180802,-1.4514779587544766,0.7803861650614762,0
26.27,21.42,-0.9788142460811394,-0.9447456825303951,0.6185764586330361,0
19.11,11.34,0.3770920937424761,1.177459397119478,-0.566647337129476,1
18.15,18.41,0.5863329755781368,-0.9820865310827187,0.35761104607949024,0
242.44,36.44,0.8266415353898965,-2.4793426552083795,0.2970143083880592,0
25.94,23.35,-0.7922983922041061,-1.0285476840987464,0.8410135713849072,0
152.78,42.53,-0.14655853569167893,-0.877464581764968,-2.2788663679008323,0
13.62,13.53,0.3562167098144623,-0.752577616837845,0.16537669255232368,0
71.34,24.9,0.23882938618641383,-0.28077407356381845,0.3741563642338508,0
30.19,24.94,1.2613181018500463,-1.0551862816147417,0.8616968771277991,0
67.01,33.41,1.5991566845286143,-0.5838710338762807,1.7047991420301394,0
1.45,10.99,-2.899893780274999,-1.2072117111810263,-0.8364760723783844,0
18.4,2.16,-1.2352804947662746,0.5967691716181407,0.9108561569848841,1
65.77,29.01,-0.3125161606756704,-0.361007445839303,1.399681426055734,0
31.15,22.31,0.8039193308807204,-0.8908373663633541,0.6560354907528966,0
36.46,19.39,0.2829461845074849,-1.96441536871945,1.3253926852538556,0
85.95,31.88,-0.28616863668797066,-0.01952154472253964,1.6917407901341464,0
33.45,18.34,1.0728867429928937,-0.7566377061529034,4.959801345227888e-05,0
21.73,15.2,-0.3341364484598427,-0.7234755705633834,0.11367659104023775,0
202.87,53.39,-1.847408384527915,-0.16927020283311078,-1.1003618934980768,0
5.02,11.96,-0.5124052146241178,-1.609485573443614,-1.2814501919345163,0
158.74,19.09,-0.7206260575907678,-2.7255517000828733,-1.6374980198060558,0
93.04,31.59,0.10940759902005842,-0.9323775348457709,-1.1828218081855488,0
29.18,17.27,0.1310207620786982,-0.7242221084346567,0.10942547962916616,0
80.62,34.2,0.9344277832313074,-0.284233834991259,1.8329426155722395,0
13.97,9.49,-0.2855036969711149,-1.1439811499636525,-0.06362707448092153,0
94.86,5.65,-0.2781192303112381,-2.5209284520017414,-2.048920583588611,0
226.44,34.57,1.3369204375647132,-3.121886148340178,-1.9417561183352565,0
81.41,25.51,-0.5974233651432281,-0.010559774867020089,0.6008978730706991,0
31.24,18.92,0.14280939244258323,-1.1621518020844417,-0.7963881059494818,0
13.48,21.16,-0.5790453361681495,-1.7113826870432762,0.975934941986768,0
22.16,17.17,-1.1378071596536348,-0.9643676111726209,-0.11263345613506925,0
317.76,78.51,-1.645592614041814,0.6079567221080491,-0.5657610631331644,0
201.72,53.48,0.3144794724834049,-0.32998958871096096,-1.4306636136195412,0
40.77,20.78,-0.7492156170889224,-0.5828209732140459,0.5422181872879417,0
17.84,21.84,0.024857503751269192,-1.110198519590306,0.7909875708110132,0
202.47,52.59,-0.8908896119420586,0.4282688070050038,0.3061737398363038,0
29.3,17.97,0.18676205484824018,-1.9688131319818285,0.5686997955559077,0
31.59,22.44,0.1848678838526347,-0.8196756682261253,0.8450207883755073,0
165.41,46.12,-0.639230561280132,-0.318378326093286,-0.8027817996381107,0
34.94,18.47,0.5767938239138171,-0.7349876641258001,-0.005488386826725256,0
39.5,22.12,0.5963970691176537,-0.7390161500136903,0.5051791047297622,0
114.18,19.61,-1.001062213384433,1.5731037764077729,1.4521402794781846,1
61.0,15.88,1.7701676156472728,0.014909824433250396,-0.19745813636783827,0
42.06,10.88,1.0357246425830327,-1.9456021929528022,-0.14384887630696208,0
61.84,0.83,1.5080475914191533,-2.3424303146445364,-2.5349342478395247,0
7.09,18.21,0.6731320206897123,-1.506132185405677,0.47824954832451594,0
56.7,22.35,0.6301487764278614,-0.9316371717139538,-0.9928683384607686,0
108.97,32.62,-1.3257937713542476,-0.1882928291141982,0.015903399059508327,0
215.92,56.05,-0.09530972104935061,0.00936893421435081,-0.8480250051668736,0
13.73,17.12,-0.2960461003212362,-1.6033320803235922,0.38975036686844844,0
82.84,3.97,1.1512196407856137,-1.7655766164326174,-0.44229043465629103,0
85.18,13.8,-2.21004278929018,1.2880365195944448,1.2007559000356962,1
56.56,24.06,-0.6872265309140099,-1.1188746007973704,-1.0994008681374392,0
